,quarter,expectation,variance,sharpe_ratio
0,2019-Q1,0.0,,0.0
1,2019-Q1,0.001,,0.0
2,2019-Q1,0.002,,0.0
3,2019-Q1,0.003,,0.0
4,2019-Q1,0.004,,0.0
5,2019-Q1,0.005,,0.0
6,2019-Q1,0.006,,0.0
7,2019-Q1,0.007,,0.0
8,2019-Q1,0.008,,0.0
9,2019-Q1,0.009,,0.0
10,2019-Q1,0.01,,0.0
11,2019-Q1,0.011,,0.0
12,2019-Q1,0.012,,0.0
13,2019-Q1,0.013,,0.0
14,2019-Q1,0.014,,0.0
15,2019-Q1,0.015,,0.0
16,2019-Q1,0.016,0.007097864307363543,0.18991363063835395
17,2019-Q1,0.017,0.004998534343904112,0.2404515501144512
18,2019-Q1,0.018,0.004048675502484456,0.2828889737563346
19,2019-Q1,0.019,0.003384680547250153,0.3265838904235324
20,2019-Q1,0.02,0.00293848180465618,0.36895083089139546
21,2019-Q1,0.021,0.0026412126827684832,0.4086181071912671
22,2019-Q1,0.022,0.002432680729625143,0.44604648709530287
23,2019-Q1,0.023,0.002273661018542227,0.48235299341403437
24,2019-Q1,0.024,0.002147221781107882,0.5179320541118941
25,2019-Q1,0.025,0.002044323803359875,0.552923649619879
26,2019-Q1,0.026,0.0019620265654587037,0.5869767594654256
27,2019-Q1,0.027,0.001894659105608835,0.6202949185790322
28,2019-Q1,0.028,0.0018362504041228075,0.6534194821995022
29,2019-Q1,0.029,0.0017859921127941368,0.6862118754080888
30,2019-Q1,0.03,0.001743698561434886,0.7184318046300242
31,2019-Q1,0.031,0.001708406070622396,0.7500084231159729
32,2019-Q1,0.032,0.0016802203197676736,0.7806688705178977
33,2019-Q1,0.033,0.0016581776499714524,0.8103980947213896
34,2019-Q1,0.034,0.0016419289260048082,0.8390768518093001
35,2019-Q1,0.035,0.0016315201461764577,0.8665064980900941
36,2019-Q1,0.036,0.0016272793916872574,0.8924244053709419
37,2019-Q1,0.037,0.0016294126983000705,0.916613344885565
38,2019-Q1,0.038,0.0016379195094797495,0.9389388708863148
39,2019-Q1,0.039,0.001652746750013974,0.9593154768835515
40,2019-Q1,0.04,0.0016743969115842723,0.9775315521730911
41,2019-Q1,0.041,0.0017032829403637,0.9934372913703617
42,2019-Q1,0.042,0.0017410178057431958,1.006578579187349
43,2019-Q1,0.043,0.0017888859657273178,1.016663254695941
44,2019-Q1,0.044,0.0018470878953815101,1.0237853139501851
45,2019-Q1,0.045,0.0019156976008181943,1.0281323778030633
46,2019-Q1,0.046,0.0019947562873762845,1.0299423362142546
47,2019-Q1,0.047,0.0020842839183482583,1.029483568098198
48,2019-Q1,0.048,0.002184593097367688,1.026965747654541
49,2019-Q1,0.049,0.002297233068340974,1.0223357559302295
50,2019-Q1,0.05,0.0024232437031938203,1.0157140452254645
51,2019-Q1,0.051,0.0025626842046380673,1.0074479791668813
52,2019-Q1,0.052,0.0027155015343202113,0.9978799977184586
53,2019-Q1,0.053,0.0028816093903207716,0.9873208632021305
54,2019-Q1,0.054,0.0030609477198465054,0.9760359266859039
55,2019-Q1,0.055,0.003253085552079028,0.9643061733858136
56,2019-Q1,0.056,0.003457760552156418,0.952336806055726
57,2019-Q1,0.057,0.003674699136166788,0.9402946433525051
58,2019-Q1,0.058,0.003904369655786191,0.9282234354763659
59,2019-Q1,0.059,0.004147256027121223,0.9161605523088254
60,2019-Q1,0.06,0.004403354230347595,0.9041894562414664
61,2019-Q1,0.061,0.0046727897063563945,0.8923633326423798
62,2019-Q1,0.062,0.004955955465379309,0.880699991071427
63,2019-Q1,0.063,0.0052529126131095494,0.869241517800675
64,2019-Q1,0.064,0.005563707525451149,0.8580208237261545
65,2019-Q1,0.065,0.005888340643468853,0.847065304466718
66,2019-Q1,0.066,0.006226994290115265,0.8363820464451848
67,2019-Q1,0.067,0.006580310468293939,0.8259459164746232
68,2019-Q1,0.068,0.006948657890049565,0.8157525642342878
69,2019-Q1,0.069,0.007332786848366272,0.8057764312692561
70,2019-Q1,0.07,0.007733328636526228,0.7960031874824604
71,2019-Q1,0.071,0.00815026027106817,0.7864527037600635
72,2019-Q1,0.072,0.00858360745381649,0.7771369746313198
73,2019-Q1,0.073,0.009033386691582598,0.7680642646916457
74,2019-Q1,0.074,0.00950077232411759,0.7591931210040288
75,2019-Q1,0.075,0.009986455733404951,0.7505084265254776
76,2019-Q1,0.076,0.01049146555333183,0.7419856613616895
77,2019-Q1,0.077,0.011016203509201582,0.7336260599830691
78,2019-Q1,0.078,0.011560703798345675,0.725441615600994
79,2019-Q1,0.079,0.012125165150198361,0.7174361565633249
80,2019-Q1,0.08,0.01270962320138342,0.7096164087730794
81,2019-Q1,0.081,0.013314098539771812,0.7019871064526859
82,2019-Q1,0.082,0.01393900151946769,0.6945412105488868
83,2019-Q1,0.083,0.01459023580706258,0.6871426997334136
84,2019-Q1,0.084,0.015275139129979251,0.6796521557663795
85,2019-Q1,0.085,0.0160188138153672,0.6715892701480123
86,2019-Q1,0.086,0.016824542256818616,0.663020295433251
87,2019-Q1,0.087,0.017692324458003054,0.6540738781450998
88,2019-Q1,0.088,0.018622149432014092,0.6448634590613529
89,2019-Q1,0.089,0.01961403120167753,0.6354868609930001
90,2019-Q1,0.09,0.020667966641680486,0.6260278203796035
91,2019-Q1,0.091,0.021783944475188766,0.6165568563500214
92,2019-Q1,0.092,0.0229618482666725,0.6071337924835561
93,2019-Q1,0.093,0.02421502754267564,0.5976411116252561
94,2019-Q1,0.094,0.025555612205196122,0.5880099959130637
95,2019-Q1,0.095,0.02698370982816332,0.578326078341438
96,2019-Q1,0.096,0.028499334868570016,0.5686615583835065
97,2019-Q1,0.097,0.030102565409026786,0.5590748808344533
98,2019-Q1,0.098,0.03180005378978788,0.5495562462224454
99,2019-Q1,0.099,0.03359592507954693,0.5401220316235062
100,2019-Q2,0.0,,0.0
101,2019-Q2,0.001,,0.0
102,2019-Q2,0.002,,0.0
103,2019-Q2,0.003,,0.0
104,2019-Q2,0.004,,0.0
105,2019-Q2,0.005,,0.0
106,2019-Q2,0.006,,0.0
107,2019-Q2,0.007,,0.0
108,2019-Q2,0.008,,0.0
109,2019-Q2,0.009,,0.0
110,2019-Q2,0.01,,0.0
111,2019-Q2,0.011,,0.0
112,2019-Q2,0.012,,0.0
113,2019-Q2,0.013,,0.0
114,2019-Q2,0.014,0.0037837958465389634,0.22759577074587317
115,2019-Q2,0.015,0.00617883197604495,0.19082622823482367
116,2019-Q2,0.016,0.00496320265969099,0.22711142288999414
117,2019-Q2,0.017,0.00407202230607064,0.26640590516959206
118,2019-Q2,0.018,0.003432801562308137,0.3072190596510178
119,2019-Q2,0.019,0.0029958437155495317,0.34713149930582987
120,2019-Q2,0.02,0.0027140670771784066,0.3839014100141333
121,2019-Q2,0.021,0.002510596628607165,0.41911270291008906
