,avg_rfr
1995-Q1,5.725806428540137
1995-Q2,5.587936499762157
1995-Q3,5.360317464858767
1995-Q4,5.256129041794808
1996-Q1,4.927903229190457
1996-Q2,5.015714289650084
1996-Q3,5.094126988971044
1996-Q4,4.960999997456868
1997-Q1,5.049152568235236
1997-Q2,5.035468734800816
1997-Q3,5.039047619653126
1997-Q4,5.076999982198079
1998-Q1,5.04350004196167
1998-Q2,4.964126927512033
1998-Q3,4.816666656070286
1998-Q4,4.246833324432373
1999-Q1,4.402666632334391
1999-Q2,4.444444452013288
1999-Q3,4.647142849271259
1999-Q4,5.044500009218852
2000-Q1,5.5214515732180685
2000-Q2,5.7068253471737815
2000-Q3,6.006825394100613
2000-Q4,5.999047627524724
2001-Q1,4.797419332688855
2001-Q2,3.6401587251632934
2001-Q3,3.225423711841389
2001-Q4,1.9074193642985435
2002-Q1,1.712333337465922
2002-Q2,1.7054062616080046
2002-Q3,1.6339841210652912
2002-Q4,1.3343387149995374
2003-Q1,1.1480166574319204
2003-Q2,1.0314444350817846
2003-Q3,0.919777772729359
2003-Q4,0.9055081928362612
2004-Q1,0.9070983577947147
2004-Q2,1.063403219945969
2004-Q3,1.4788730201267062
2004-Q4,1.995532247327989
2005-Q1,2.5242499987284344
2005-Q2,2.8514531180262566
2005-Q3,3.3543650839063854
2005-Q4,3.8112295025684793
2006-Q1,4.3864098455085125
2006-Q2,4.695904769594708
2006-Q3,4.895555564335415
2006-Q4,4.893709682649182
2007-Q1,4.968524557645203
2007-Q2,4.719127011677576
2007-Q3,4.290317437005421
2007-Q4,3.3827419319460468
2008-Q1,2.030409842241006
2008-Q2,1.608492064097571
2008-Q3,1.4537301521807435
2008-Q4,0.26959677309458774
2009-Q1,0.1972950819085856
2009-Q2,0.1568548396950768
2009-Q3,0.14873015951542629
2009-Q4,0.048145161160538276
2010-Q1,0.09811475460768723
2010-Q2,0.13725806520350517
2010-Q3,0.1444444444680971
2010-Q4,0.12795081991152685
2011-Q1,0.11733871001389719
2011-Q2,0.03451612898178639
2011-Q3,0.017063491918619663
2011-Q4,0.008571428394625111
2012-Q1,0.061532258206317504
2012-Q2,0.07912698488623376
2012-Q3,0.09174603235626978
2012-Q4,0.08158333419511715
2013-Q1,0.07691666601846615
2013-Q2,0.04387301605726991
2013-Q3,0.024079364960983632
2013-Q4,0.050822580713898904
2014-Q1,0.03947540998581003
2014-Q2,0.0223548385660134
2014-Q3,0.01673015861934613
2014-Q4,0.013064515927145559
2015-Q1,0.014180327742742221
2015-Q2,0.00922580640162191
2015-Q3,0.03250793644064476
2015-Q4,0.10958064511989153
2016-Q1,0.2715737702416592
2016-Q2,0.2435238082257528
2016-Q3,0.27993650923645685
2016-Q4,0.41026229545718335
2017-Q1,0.5850806491028878
2017-Q2,0.8827619051176404
2017-Q3,1.0261428535930694
2017-Q4,1.1890634922754197
2018-Q1,1.5417868856523858
2018-Q2,1.82132812961936
2018-Q3,2.0199047648717485
2018-Q4,2.293655727730423
2019-Q1,2.373377033921539
2019-Q2,2.289177406218744
2019-Q3,1.9655714262099493
2019-Q4,1.559258064916057
2020-Q1,1.0572258056096373
2020-Q2,0.12300000105413698
2020-Q3,0.09914285760550272
2020-Q4,0.08079032311516424
2021-Q1,0.039590164141149305
2021-Q2,0.015064516022140461
2021-Q3,0.03992063528488553
2021-Q4,0.04435483895001873
2022-Q1,0.28695161394294233
2022-Q2,1.0503606600839583
2022-Q3,2.630158740376669
2022-Q4,3.9887619169931563
2023-Q1,4.593580661281463
2023-Q2,5.037274183765534
2023-Q3,5.273238113948277
2023-Q4,5.333777798546685
