,quarter,expectation,variance,sharpe_ratio
0,2019-Q1,0.0,0.03359592507954693,0.5401220316235062
1,2019-Q1,0.001,0.03359592507954693,0.5401220316235062
2,2019-Q1,0.002,0.03359592507954693,0.5401220316235062
3,2019-Q1,0.003,0.03359592507954693,0.5401220316235062
4,2019-Q1,0.004,0.03359592507954693,0.5401220316235062
5,2019-Q1,0.005,0.03359592507954693,0.5401220316235062
6,2019-Q1,0.006,0.03359592507954693,0.5401220316235062
7,2019-Q1,0.007,0.03359592507954693,0.5401220316235062
8,2019-Q1,0.008,0.03359592507954693,0.5401220316235062
9,2019-Q1,0.009,0.03359592507954693,0.5401220316235062
10,2019-Q1,0.01,0.03359592507954693,0.5401220316235062
11,2019-Q1,0.011,0.03359592507954693,0.5401220316235062
12,2019-Q1,0.012,0.03359592507954693,0.5401220316235062
13,2019-Q1,0.013,0.03359592507954693,0.5401220316235062
14,2019-Q1,0.014,0.03359592507954693,0.5401220316235062
15,2019-Q1,0.015,0.03359592507954693,0.5401220316235062
16,2019-Q1,0.016,0.03359592507954693,0.5401220316235062
17,2019-Q1,0.017,0.03359592507954693,0.5401220316235062
18,2019-Q1,0.018,0.03359592507954693,0.5401220316235062
19,2019-Q1,0.019,0.03359592507954693,0.5401220316235062
20,2019-Q1,0.02,0.03359592507954693,0.5401220316235062
21,2019-Q1,0.021,0.03359592507954693,0.5401220316235062
22,2019-Q1,0.022,0.03359592507954693,0.5401220316235062
23,2019-Q1,0.023,0.03359592507954693,0.5401220316235062
24,2019-Q1,0.024,0.03359592507954693,0.5401220316235062
25,2019-Q1,0.025,0.03359592507954693,0.5401220316235062
26,2019-Q1,0.026,0.03359592507954693,0.5401220316235062
27,2019-Q1,0.027,0.03359592507954693,0.5401220316235062
28,2019-Q1,0.028,0.03359592507954693,0.5401220316235062
29,2019-Q1,0.029,0.03359592507954693,0.5401220316235062
30,2019-Q1,0.03,0.03359592507954693,0.5401220316235062
31,2019-Q1,0.031,0.03359592507954693,0.5401220316235062
32,2019-Q1,0.032,0.03359592507954693,0.5401220316235062
33,2019-Q1,0.033,0.03359592507954693,0.5401220316235062
34,2019-Q1,0.034,0.03359592507954693,0.5401220316235062
35,2019-Q1,0.035,0.03359592507954693,0.5401220316235062
36,2019-Q1,0.036,0.03359592507954693,0.5401220316235062
37,2019-Q1,0.037,0.03359592507954693,0.5401220316235062
38,2019-Q1,0.038,0.03359592507954693,0.5401220316235062
39,2019-Q1,0.039,0.03359592507954693,0.5401220316235062
40,2019-Q1,0.04,0.03359592507954693,0.5401220316235062
41,2019-Q1,0.041,0.03359592507954693,0.5401220316235062
42,2019-Q1,0.042,0.03359592507954693,0.5401220316235062
43,2019-Q1,0.043,0.03359592507954693,0.5401220316235062
44,2019-Q1,0.044,0.03359592507954693,0.5401220316235062
45,2019-Q1,0.045,0.03359592507954693,0.5401220316235062
46,2019-Q1,0.046,0.03359592507954693,0.5401220316235062
47,2019-Q1,0.047,0.03359592507954693,0.5401220316235062
48,2019-Q1,0.048,0.03359592507954693,0.5401220316235062
49,2019-Q1,0.049,0.03359592507954693,0.5401220316235062
50,2019-Q1,0.05,0.03359592507954693,0.5401220316235062
51,2019-Q1,0.051,0.03359592507954693,0.5401220316235062
52,2019-Q1,0.052,0.03359592507954693,0.5401220316235062
53,2019-Q1,0.053,0.03359592507954693,0.5401220316235062
54,2019-Q1,0.054,0.03359592507954693,0.5401220316235062
55,2019-Q1,0.055,0.03359592507954693,0.5401220316235062
56,2019-Q1,0.056,0.03359592507954693,0.5401220316235062
57,2019-Q1,0.057,0.03359592507954693,0.5401220316235062
58,2019-Q1,0.058,0.03359592507954693,0.5401220316235062
59,2019-Q1,0.059,0.03359592507954693,0.5401220316235062
60,2019-Q1,0.06,0.03359592507954693,0.5401220316235062
61,2019-Q1,0.061,0.03359592507954693,0.5401220316235062
62,2019-Q1,0.062,0.03359592507954693,0.5401220316235062
63,2019-Q1,0.063,0.03359592507954693,0.5401220316235062
64,2019-Q1,0.064,0.03359592507954693,0.5401220316235062
65,2019-Q1,0.065,0.03359592507954693,0.5401220316235062
66,2019-Q1,0.066,0.03359592507954693,0.5401220316235062
67,2019-Q1,0.067,0.03359592507954693,0.5401220316235062
68,2019-Q1,0.068,0.03359592507954693,0.5401220316235062
69,2019-Q1,0.069,0.03359592507954693,0.5401220316235062
70,2019-Q1,0.07,0.03359592507954693,0.5401220316235062
71,2019-Q1,0.071,0.03359592507954693,0.5401220316235062
72,2019-Q1,0.072,0.03359592507954693,0.5401220316235062
73,2019-Q1,0.073,0.03359592507954693,0.5401220316235062
74,2019-Q1,0.074,0.03359592507954693,0.5401220316235062
75,2019-Q1,0.075,0.03359592507954693,0.5401220316235062
76,2019-Q1,0.076,0.03359592507954693,0.5401220316235062
77,2019-Q1,0.077,0.03359592507954693,0.5401220316235062
78,2019-Q1,0.078,0.03359592507954693,0.5401220316235062
79,2019-Q1,0.079,0.03359592507954693,0.5401220316235062
80,2019-Q1,0.08,0.03359592507954693,0.5401220316235062
81,2019-Q1,0.081,0.03359592507954693,0.5401220316235062
82,2019-Q1,0.082,0.03359592507954693,0.5401220316235062
83,2019-Q1,0.083,0.03359592507954693,0.5401220316235062
84,2019-Q1,0.084,0.03359592507954693,0.5401220316235062
85,2019-Q1,0.085,0.03359592507954693,0.5401220316235062
86,2019-Q1,0.086,0.03359592507954693,0.5401220316235062
87,2019-Q1,0.087,0.03359592507954693,0.5401220316235062
88,2019-Q1,0.088,0.03359592507954693,0.5401220316235062
