,MMM,ABT,ADM,ADP,APD,MO,AEP,AXP,AIG,AMGN,AAPL,T,ADSK,AVY,BALL,BAC,BBWI,BAX,BDX,BA,BMY,CPB,CAT,CNP,CVX,CI,CSCO,C,CLX,CMS,KO,CL,CAG,COP,ED,COST,CSX,CMI,CVS,DE,DIS,DOV,DTE,DUK,EMN,ETN,ECL,EIX,LLY,EMR,ETR,EXC,XOM,FDX,F,GD,GE,GIS,GPC,GL,HAL,HAS,HSY,HES,HD,HON,HPQ,IBM,ITW,INTC,IFF,IP,IPG,JNJ,JPM,K,KEY,KMB,KR,LIN,LMT,LOW,MRO,MMC,MAS,MCD,MDT,MRK,MU,MSFT,TAP,MS,MSI,NEM,NEE,NKE,NSC,NOC,NUE,OXY,ORCL,PCAR,PH,PEP,PFE,PNC,PPG,PG,PEG,PHM,RTX,RVTY,SPGI,SLB,SEE,SHW,SNA,SO,LUV,SWK,SYY,TGT,TXT,TJX,UNP,UNH,VZ,VFC,WBA,WMT,WFC,WMB,GWW,XEL
1995-Q1,0.08588412696713363,0.0981237811003257,-0.07908868368846214,0.07947309712576692,0.16406618852564625,0.1394542731533918,-0.01773466538713721,0.19230776576938827,0.0609649151854358,0.15665178794444126,-0.07890861633087268,0.04732881930231501,0.1288321027934479,0.15160538866883888,0.07065025513979926,0.12030030204122176,0.3123061426373525,0.1743292506888801,0.1286770777773449,0.1559304866550467,0.07708733549645369,0.09321997766108728,0.013555254009429973,0.09075611168140205,0.08941746303291861,0.19148076037244774,0.11721687103785092,0.17688074024371886,0.03226188695875092,0.030925786485721175,0.09370804360431248,0.05707870389578061,0.08906043847449091,0.13236143590172747,0.07753440267504913,0.14563100769618684,0.1194713375936603,-0.013729130290940434,0.20140705919414278,0.23490566386092274,0.14745290314353707,0.23276432833088292,0.0675705639016803,0.012641671907421563,0.11228894280642891,0.11439194276686322,0.18221837320441617,0.07627112312552028,0.13164549850049378,0.07531912890972729,-0.04949171082173067,0.030683372008234948,0.11226316038274055,0.12008303567380892,-0.02622942759111324,0.0891992157597648,0.06681156700952566,0.0547495488821766,0.12069603629779171,0.18996429182505237,0.09323281140545718,0.1715878762974781,0.04755576349748656,0.10358099685639971,-0.023956246713169364,0.1603857752382279,0.22699137025570398,0.11730256450733055,0.13043760222094258,0.33250077447538384,0.12595234268381444,0.0038024854651222345,0.15923105021124434,0.09724145505330287,0.053418742604008744,0.011432787670796649,0.1335168907543482,0.026037478309210584,0.08205145664697347,0.15222224781466714,0.19981357835124453,0.008638821094691093,0.06402638992188614,0.04264839178336642,0.15706780214972366,0.17379989345777722,0.29370565384293734,0.12234881653878356,0.7422194270120253,0.1817239569947852,-0.01486809786889473,0.21671780243185454,-0.039967947006059885,0.21696835676043638,0.051836296650432614,0.04210043361751385,0.09193832421867926,0.1711315485296948,0.02880275390303587,0.12894034833408027,0.09329530829663459,-0.03386487890739941,-0.014282594128527332,0.09186186479873706,0.1354904740914692,0.13870292939958567,0.014460366236626828,0.06814198444492574,0.04759291240945232,0.024470603017933544,0.1077008621669285,0.04639195273062802,0.08217303902932355,0.1725253281522948,0.19791690968996895,0.03149701961417598,0.09020296969392695,0.04035778505132892,0.014756688225153365,0.10337415877762428,0.0235821560518207,0.0272596763996342,0.15228067175282578,-0.1579354116394263,0.1806457469339348,0.08473799472465915,0.06420489815072429,0.08870057042306946,0.07982909332759013,0.23001750562304346,0.10088239807390241,0.22442031701666537,0.1256562742050513,-0.005649255756824849
1995-Q2,-0.005316985512159921,0.13914096882868227,0.0013717295273196176,0.0007579956249265927,0.07458939748682514,0.15104264662951436,0.12702579787466303,0.01731577459801435,0.09606466591323383,0.19387786671864943,0.32103133148104723,0.1489854981205992,0.022227849310165172,0.00974455314224322,0.01910875049234006,0.06612669464026569,-0.0391103077050079,0.11987469602810051,0.07754115359376945,0.17044907519407027,0.09640282451938395,0.0194527799799971,0.16281487589010785,0.12557089815403089,-0.024705145198856488,0.049074004741928745,0.3262292711736063,0.13820484562912477,0.09661543050800334,0.057681445262467504,0.1349643356709211,0.11463861465619793,0.059464129151878334,-0.08072615665417594,0.1022066488273947,0.10169476641915318,-0.040495005224021476,-0.019870641520575896,-0.0706588161492277,0.0606088808802164,0.03910305583606811,0.12797015177057164,0.09677255559687885,0.0983383594318332,0.07693340642450479,0.07886806298281968,0.015437354899598276,0.11165664575841884,0.08286316936865858,0.08179780263779292,0.17927448375053512,0.11616824236025174,0.07133412631236784,-0.10166400331630078,0.11959751355680857,-0.04841720645100387,0.05168197112653635,0.050707644237170064,-0.042520601837100984,-0.08418238637565759,-0.010861838737628669,-0.056882490571777515,0.08746481234392635,-0.007125923133043199,-0.07796782476415239,0.13912701533621707,0.2410857711004094,0.1720586030708945,0.12844722397287667,0.49282707266472064,-0.030524892035739503,0.14923775067975242,0.007775422800837995,0.14011113142947276,0.25165532751841924,0.22986959602972634,0.12439849294069959,0.16019883942115967,0.01895694353107408,0.07334446257578683,0.20094698471418662,-0.13390867307983825,0.1386259477290359,-0.0035118521949548645,-0.016214000748128423,0.1486754238964912,0.11334900997670642,0.15985638259317328,0.44655994338805965,0.27065027621418813,0.007407594145632162,0.15723185499994558,0.2308680477994449,-0.017685705141729936,0.0747231471350369,0.12044029475796347,0.01531243611818163,0.07488548126355571,-0.04759750293756271,0.057268567224225075,0.23599923562471437,0.10597784843651717,0.23493144104721234,0.16796177862359105,0.08077579750226602,0.09710971993664848,0.14418872581802264,0.09051898786192464,0.03243783032211584,0.19402597513727957,0.13775905677732986,0.12629650809843784,0.066062839314203,0.04794135399943014,0.020289743054831832,0.056422376239209204,0.0694745023541311,0.1144426269405786,0.3362859483129178,-0.029736202533611093,0.11763780015281548,0.009776568635094606,0.03313623350964063,0.02144271811056224,0.017464879618850807,-0.11497362978570322,0.07304406267891038,0.01845630039596781,0.04584008567240084,0.045963334216757565,0.1420558039727736,0.14817006059701768,-0.06758721787457148,0.06425890219967495
1995-Q3,-0.009017942536838158,0.0582796231244853,-0.13190606326746404,0.08627355104415123,-0.06034656733565013,0.1377581365219722,0.05358367959048771,0.2669817608463247,0.11961235021968636,0.24009327824448293,-0.19565840120142558,0.1686013862012316,0.01887165427453703,0.05696020385038464,-0.14678724219914321,0.26433763134618865,-0.1261132686868331,0.13884586180155206,0.08321126011241431,0.09397185810192185,0.08140754133212072,0.03202297406941164,-0.11057214427058851,0.0656947944531282,0.06207814218602527,0.3517753423347497,0.36464763602606404,0.2194203725606905,0.10291461223164898,0.08181416169396961,0.08605053750846865,-0.0824644875513352,0.14251661478160924,-0.01765677013414543,0.048173761026334264,0.053846350830529174,0.1257959662150942,-0.11183870781630564,0.018395755972092406,-0.04254276284412442,0.03547851129589354,0.055491797104097164,0.11168866014636622,0.05842730133380355,0.08240281374773861,-0.08162658610114139,0.1326531172893568,0.03649657725335735,0.15460854128149823,0.006840637589722426,0.102955641236795,0.051905156190758105,0.03395060791142559,0.36625571470882445,0.05742515091586821,0.24686841828220163,0.1380830501045683,0.0950796112761464,0.06781479104739364,0.12423268015850432,0.17499675969110895,-0.01714904624569925,0.17231143799576965,-0.0021139655301587726,-0.020295133258725784,-0.0041823401144717946,0.12191465085727317,-0.013359648696716289,0.07364939493037102,-0.049792367003536654,-0.023711981197223796,-0.014323652022159156,0.0642165055350526,0.10333165518853935,0.3021384115330701,0.02028949122567363,0.10456508105505047,0.1289310689735527,0.2697675274994052,0.07861848026078957,0.06957990918320445,0.005529947738002602,0.008466820968878571,0.09300348194672955,0.02504958998187459,-0.020533264182956024,0.4026698074320501,0.14771480014479932,0.4444031868825104,0.0013830442914583578,0.11513068498074006,0.2005938799516201,0.13925602833731732,0.017708944296560013,0.07032816051730419,0.32335889902703846,0.11744893883894447,0.1756879834346875,-0.1622553822627256,-0.032910316982425906,-0.006471825220859882,0.0051545737255393916,0.05310562760459568,0.12574798004165114,0.1646453883215248,0.07195469023481683,0.08885089117365207,0.07750536393260157,0.09325077129861095,0.015559273253316472,0.13801442285057924,0.17350006452478742,0.0856754521628111,0.058664499031060434,0.25284059239063217,-0.013047665833138173,-0.012773537589086432,0.06521666529131573,0.05276292367568138,0.15445019168820728,-0.07285728348872762,0.06392576202899508,0.18083248699472754,-0.09438264346061265,0.20384980281761683,0.18126903615228487,0.10966982754318838,-0.0453015220846457,0.12164902919971632,-0.0729117385664334,0.14020729076810143,0.12661371878897681,0.031639833093303774,0.013423748981885716
1995-Q4,0.17298777591595735,-0.02122383204901577,0.16493106267652724,0.07886646884838233,0.026888710805367717,0.0961791591188531,0.13903309830371371,-0.054698198569371366,0.10219779102310779,0.2117346498162876,-0.1501867405653894,0.06344471803013937,-0.19046230865019598,0.20444593945133346,-0.07023232687937805,0.03033318251624827,-0.08746407438175371,0.037864682808751535,0.1618285446332947,0.17179744057075105,0.1983323569663215,0.20119046303247545,0.07062453765900166,0.10142169494663385,0.08836989331219586,-0.018062744944511613,0.13068215223738644,0.19942724768623493,0.030633615517083903,0.14802412025404263,0.08119572840996934,0.06953691925182251,0.04083501313503464,0.09803397933428223,0.05914046416542964,-0.10948916679574115,0.08809954567436762,0.0031048549527349983,-0.11178514624079373,0.2930769570646991,0.03613186447481136,-0.01943167099098328,0.09038584124818123,0.10181517839037922,-0.020951878580009277,0.019693340320517616,0.10610086802031256,0.0071426524971235795,0.27121513549889614,0.15900535174260444,0.13232203796021763,0.05904019201142767,0.14183852040243264,-0.11394226916463564,-0.04979686477895479,0.10286063000850773,0.14113646005218283,0.03758422069846993,0.020111934044525045,0.07832081046258292,0.2231658577468895,0.01490685017154532,0.005924434996792805,0.10745580320198198,0.20641828692808092,0.09356352707718638,0.017816495477356205,-0.020247302580407543,0.009311106709334422,-0.03960340197198016,0.012169972205795812,-0.07263091741617926,0.10255437328475789,0.16800204028038704,-0.022935095279393428,0.06763366925207817,0.07311481592871003,0.2378979901840368,0.1115241356453714,0.290641660150433,0.20041404946678976,0.13752950041518686,0.029194880491186213,0.025219324110713575,0.1183108849385642,0.18933236743404278,0.048132769724908056,0.16006979587869802,-0.48520960131189683,-0.0056661495316281795,0.23684825482009883,-0.12685707571097918,-0.2524671391677889,0.08682253005012455,0.14635489282241593,0.19474544636754787,0.06550566832359861,0.06050983428961301,0.28177732918461457,0.005483620909269272,0.12531085822945665,-0.09546020290161643,-0.06620662414216644,0.09942039855765754,0.18826891089008127,0.17108473459434298,0.006985116621421618,0.07983392688902106,0.04397428798640116,0.17678804852320762,0.10053770384168532,0.2528213399086399,0.08145088784670435,0.06501050325422988,0.02283049819165704,0.16905133028823932,0.1712151762133303,0.04476023230081654,-0.0511642480392057,0.18567956417903506,0.19703146661222204,0.0009767392332465786,-0.011269344048521278,0.6397671394489807,0.0066333631471788635,0.32070697347815413,0.09325210642803008,0.03392126889950024,0.07095749718298373,-0.09917192267937636,0.03566275591696499,0.13591921904251847,0.10821270872512437,0.08876922627493768
1996-Q1,-0.01146327611262651,0.00802893124236025,-0.004228446073377125,0.07104035769003486,0.03521674238266637,-0.0093707874771887,0.02611332041549744,0.21744449346631006,0.004881580240516811,-0.010729666660597867,-0.20622305456557008,-0.1376373486335862,0.05233290582457163,0.09980673753393775,0.11084122835158697,0.20208969827436313,0.0999163158407815,0.10318708342678433,0.08546667002774831,0.06592337956816992,0.030927518792887916,0.06040802227716803,0.14182087481656733,-0.08733652664607744,0.07339213162366327,0.09472783915055182,0.23731540859048242,0.07655877943078179,0.2470154134305428,0.01193835997769387,0.12680059396849774,0.11315059343246728,-0.02168527667486476,0.1690169906859669,0.007549151917688952,0.20731645675803276,0.016721062499218644,0.06122216611440186,0.1258953406132363,0.20988547428908697,0.06570864255086707,0.2548318788257513,-0.01015144281773817,0.07322812604232674,0.07036456213352645,0.11450446972783185,0.038321863772479925,-0.02836909690669437,0.18691754954249531,0.01994687593235259,-0.02827944679916724,-0.1076080241411222,0.03901883930822098,-0.022108527302209427,0.20591972943177503,-0.03544008587757702,0.08643297543120394,0.0021360212565149175,0.09298495230144266,0.01207792720591315,0.24622519506396234,0.21274428407865123,0.16222054310627876,0.0309021328608285,0.008952427573217004,0.20290145216235658,0.15500805728936845,0.217232103232465,0.10321048718858324,-0.024869850174516504,0.019956448299222832,-0.002959600720256586,0.08535311382975527,0.11057926303250115,0.25321940592221637,-0.037743536275802236,0.07931076873469635,-0.0684302280218965,0.07333285132995133,0.23249959022074712,-0.02002015258167984,0.07186091373175564,0.0025966252687753206,0.07052946163773774,-0.09891675235071869,0.08386988395063752,0.13122172809109103,-0.008725346529877338,-0.25903605163482124,0.14484642463927286,-0.1870254931352838,0.2404335053514394,-0.11063708500793756,0.17253699379906481,-0.014803321845073826,0.16232228378587854,0.0668939452429416,-0.016810147865536126,0.0520578147723428,0.261837781112601,0.08381444179900498,0.1007719738826292,0.10634999409192958,0.15143250380998022,0.12949847345416415,-0.00983271829721116,0.09040939155474388,0.043801702601653565,-0.09210945921399853,-0.21596124850778167,0.19842236179546432,-0.040725130220174134,0.01306798488794809,0.18833270163774318,0.1955556807896036,0.10911685454099136,0.01982746958161777,-0.013130226607988094,0.26104825482801824,0.12388344880084477,0.051082074024041066,0.11405447023813162,0.1886496092563643,0.3293699870847383,0.012011069783428533,-0.00760761368716397,-0.058768617725328466,0.061340726870780606,0.09891415359300973,0.012982120868913118,0.14496495556373135,0.16634710588474566,0.020333175872411385,-0.0025251878945060763
1996-Q2,0.08056374348990089,0.04188265407279127,0.05797531619523255,-0.0037761351433828498,0.052527070235549186,0.17500034972404624,0.033615143024606,-0.09545258402946756,0.043587174236185515,-0.03253812319746386,-0.15686560259079343,0.0014347333006810338,-0.1768281131001424,-0.015086497130107844,-0.11820602835537002,0.02520579237965505,0.13115101630601084,0.053435062425322935,-0.020179113769062843,0.06254953900236153,0.04034528181551074,0.10116473674279453,0.04242201925359194,0.13678374874954563,0.0735036567852047,0.034533049954161864,0.23544991870914325,0.045357089616915244,0.003775107256181292,0.037708352035940175,0.17523221633749841,0.08633255393000067,0.1478501883766073,0.07776236706166952,-0.07287323908491666,0.13131334500838215,0.07417052129413941,0.024241182753485555,0.1570990553996796,-0.07725762250683728,-0.03880054010992061,0.011331942517189046,-0.07909180653771679,0.0178497686356423,-0.09276801664533461,-0.038806562777482026,0.061396120017789366,0.05185167648358017,-0.001591571150439887,0.10641624193836616,0.04023928453517382,-0.006610750605938249,0.06123089389727565,0.15478273961219835,-0.04785346392750968,0.10072252010441345,0.10507266551072128,-0.060344565145505374,0.02706045392315103,-0.02691314339109649,-0.09873357843015977,-0.0375149168497662,-0.02156143339075438,-0.029032671139192,0.1373667137480642,-0.017431985946755477,0.0584031139650742,-0.07735737682365941,0.051171925434368146,0.3158589550724341,-0.018966376429776,-0.003851824985186647,0.011666288270819275,0.0686517855188503,-0.019749434487558726,-0.004331017498420195,0.012939616657523578,0.052992088744107574,-0.012421975663943615,0.020787601078655103,0.10340423634199528,-0.019220472546026462,0.08024230172569952,0.039913380444915346,0.11973905531924599,-0.03405088253484438,-0.043623609355005054,0.0487855449214153,-0.1410916949945439,0.19038946031494078,0.006803286026176643,-0.00918396160601341,0.2337852557437444,-0.09877771924906888,0.04447002400497626,0.2622076621394757,0.03636362499159535,0.08390305771647424,-0.1475325592517946,-0.06495107373777545,0.2519997942226156,0.010256518277617107,0.11918956521243812,0.11713034178463329,0.02619234340984941,-0.004580732377223278,-0.02615202296635067,0.054143484747726206,0.02080113355154964,0.03515983993340174,0.03876281902540138,-0.09869239077110585,0.052784244172354985,0.039708100759296004,0.02973959356958905,0.040168654480719275,0.021833704882223626,0.030209889333172747,-0.037630318669260865,0.06388181693878175,0.022541166426434302,0.19092071421871837,-0.029544176869265783,0.3682749536434607,0.07676154296170123,-0.2046784141928335,0.005739189364221745,0.07810812303358164,0.02228397821203122,0.06063216371830456,-0.05615805423007969,-0.032637571526782067,0.1600473380571808,0.019029975233650097
1996-Q3,0.022621528896166643,0.14189586626327322,0.05978638915189644,0.12484074550132578,0.009126481769906962,-0.13290943116804288,-0.030470037992735406,0.027207142750518883,0.03177812981126732,0.13228692765054814,0.031979741389953555,-0.0138581463398303,-0.13564765302188586,0.026699934557172438,-0.10760267073156575,0.038326451611135744,-0.09514186636119448,-0.019524251043302836,0.10760309217263991,0.05473285766524496,0.07681596801891839,0.13424097569366997,0.08337623868320058,-0.0910779487208285,0.0556951979788655,0.018501304618418413,0.06316898918307216,0.07174014636414071,0.0888424464580948,-0.01965265300091984,0.03284532300382141,0.032542493636987836,0.06501732242052025,0.02307181398328817,-0.037112161208820445,-0.023809012950866862,0.04384261133595764,-0.04502359113967397,0.07271321961829715,0.07519969902687192,0.018011644532646295,0.030732998373444988,-0.0729683403999093,-0.07794339232591586,-0.04912737159383138,0.046216319509930916,0.04317294873269799,0.02142953375228355,0.00014246418815633868,-0.0011964510560693998,-0.04031674908236616,-0.06976522855926852,-0.03663483483507646,-0.045181596569317584,-0.041633970340421024,0.09833761643434315,0.048249087592852624,0.1182732889813487,-0.03618506253639627,0.0555681761295866,-0.009692481587568113,0.0377464811841296,0.35517923686277103,-0.00893495095441729,0.049531568344758095,0.14483115738459099,-0.03823517823677895,0.23052893171394367,0.07131620630546574,0.2712550367411837,-0.06957049442647877,0.11424564975588762,0.011865502356452208,0.036452668113709334,0.13146932466072433,-0.06971351280572972,0.13153819307046283,0.12567573754729755,0.1257862401840735,0.035382368075149426,0.06053372068633675,0.15314930386170314,0.06353984883752424,0.01515074207646564,-0.029962255974737003,-0.001054609901524136,0.14447744575654287,0.07084949766810161,0.15639809242774683,0.07818101564050063,0.23508951608680917,-0.041397986947624754,-0.1996578797099599,-0.057339175784355934,-0.055470811343575184,0.16827794622680614,0.05298178352681963,0.18447172528325312,0.0016144867282223102,-0.05505398634658954,0.0878601701423077,0.12341934091214427,-0.00987847142145971,-0.20381872683400631,0.11139841503763602,0.1116271176137561,0.1253128474313101,0.08162225160831849,-0.007789592354283429,-0.06165192309739497,0.04717330037694911,-0.11618721276311153,-0.06346386317687074,0.0014163406467522894,0.0758121055433047,0.0011728258589599496,0.02379093938421281,-0.06388956620301119,-0.1970163036422496,-0.04824803100832323,-0.014507439057423195,-0.011631004590058834,0.06961926458285371,0.0536913782522316,0.01825717299452795,-0.18382344236374035,-0.03455967671292922,0.014511209060657365,0.10387836606790385,0.06235707392478451,0.17296140397894158,0.04248281694906832,-0.09460264059656998,-0.03250966370933709
1996-Q4,0.20355455027223124,0.032868595496885665,0.15287494832670823,-0.01727677834196717,0.19138415624165397,0.24587741462172868,0.020566133237422433,0.22565800379236595,0.06745167826973383,-0.14705907901754267,-0.1522835238548845,0.08763932871934621,0.10633450994461732,0.2838444210535153,0.10624896246834171,0.1392113587550731,-0.0340636692006235,-0.07234505020357183,0.008873274882148967,0.12153285753203155,0.13439983295456953,0.033402910233802374,0.025827951692107026,0.027308827426969672,0.04024098164281183,0.13341635274556646,0.024145544799939765,0.21641137953833908,0.04606022471135322,0.11187717330688958,0.05243592566109713,0.04483321406996145,0.028690581497129455,0.06490273766900347,0.07250967882268052,0.21818200159978118,-0.17102396871088782,0.17470845524848716,0.08982869992909696,-0.033975905983770864,0.11793225038068998,0.0636621242362555,0.1699397132386995,0.00012300107313055508,-0.02091264114242733,0.19008840950298886,0.1072419116063489,0.15000079658726842,0.12819563847550544,0.0975137287882266,0.04432353048675943,0.064372100259891,0.15989937738892807,0.09370172651393628,0.03248290403813302,0.04661579125746688,0.0965567961198688,0.07610979420126451,0.0160005380344482,0.11410955227374547,0.1662548628600635,0.02904150418331902,-0.12808600219294186,0.06722647474725904,-0.13850771002399395,0.020255146808032913,0.052029725820413285,0.227541231269833,0.0855981496345224,0.36814887781477135,0.048580171128407866,-0.04993361171755479,-0.0017540988289797114,-0.023246854217475892,0.10935258323386339,-0.032164249275320474,0.13668069885734216,0.10486798678997068,0.05382423288427336,0.07170366471512099,0.016881274197763935,-0.16077160994591208,0.11355515484702122,0.08748272646649731,0.2356048921656904,-0.04321004293522825,0.057906324655182,0.12706209648933317,0.0,0.25070926936657195,-0.105376680582392,0.1948768603911214,0.2065518636092395,-0.05047919545021777,0.07423929662144595,-0.004257520602253703,-0.030931056507519036,0.03131149696938508,-0.024684422783854545,-0.0055373539845324565,-0.020527707743192347,0.3837944949404801,-0.06766085799278648,0.034820501859624584,0.03950738739636854,0.139790232624829,0.0524390357572089,0.10614155809553069,0.033192091967684814,0.20823021588601726,0.10528820623586208,0.14281596573157884,0.07409585493171693,0.1657583131023261,0.1174502694902921,0.2147023302699106,0.11546333461408556,0.03137407673496969,-0.048264589306342254,-0.02761932365395506,-0.036047707796666405,0.25654176868651757,0.1123744310396209,0.34163160180833363,0.2362770435907863,0.10429416322630934,0.09636219090402713,0.13124192329324827,0.09851289751357561,-0.12314810910192583,0.042018804750172584,0.1216376541611638,0.1563700358130606,0.001219104755365214
1997-Q1,0.025929376145705764,0.1161618222558269,-0.18539785549190957,-0.020806620504123866,-0.01412549749849349,0.018814842074048987,0.017889922193669156,0.05973493089834746,0.08518746365987309,0.027586835711765033,-0.1257514178285792,0.03418377958248138,0.10921443167916631,0.09294125929473389,0.015587405391765594,0.1416013854396677,0.006398147129808978,0.05855992360549022,0.040196176714405,-0.07151628839502806,0.08256901800869147,0.16127500648819232,0.07197819784979939,-0.06197007944736224,0.07968069970606234,0.07425277286821198,-0.24361525646364668,0.06097163366854246,0.12520188003876095,-0.014360547117692728,0.06178017010297244,0.08525146036059619,0.09635695642541232,-0.06956160827347733,0.047360743490408475,0.09950230639170214,0.10668134223600374,0.11938530696056522,0.11553696442920738,0.07902044630595605,0.04647465280955338,0.043098615378528896,-0.15460802087718584,-0.034764372717078364,-0.019444798085865866,0.01836340904494765,0.014209407596737784,0.13207495721576176,0.13126932961928137,-0.06617636877655758,-0.0979470946245782,-0.17723041166160597,0.1079986664216089,0.17134816848184087,-0.015691298457350695,-0.03867604489289224,0.008867259757266746,-0.015991773299751492,0.05583916584012012,0.09653513945268483,0.12884851773974043,0.05895038493795548,0.14801689661946632,-0.08165249308030609,0.06846390872912675,0.06718244370711457,0.06194273436295619,-0.09192313923134014,0.02878408773795256,0.06288160167927798,-0.02010926156594003,-0.031405405571814635,0.11428644990267979,0.06614222337877852,0.05697135583525296,0.03129301803707333,-0.027173336104058518,0.049202938703760316,0.09677421142734766,-0.024888526230036387,-0.07781067221580756,0.050705957072840764,0.17569959996258377,0.09836790026647882,-0.01736102633195479,0.04297353286027874,-0.0832990127537692,0.06297761009465849,0.3862660341754169,0.10968278425214828,0.1249236619663995,0.05651683160446723,-0.01019302017106527,-0.13143933230426444,-0.030673974799301326,0.03203636575705198,-0.024720690711613234,-0.0809968231682916,-0.10102360782534202,0.06375403009819994,-0.07634757229811524,-0.01479285126705757,0.10824929216670262,0.11076808572320593,0.017355484113246455,0.073434324582855,-0.03189038171323246,0.07050340000498169,-0.0180097332193372,-0.04704141340032483,0.14803338714246458,0.04431327060760644,0.11632012673687678,0.07772333609040792,-0.01201256798677672,-0.03233388415935053,0.09336204553840172,-0.05237879626368835,0.0061668625002117465,0.40933738932502034,0.04597732496676977,0.06807630165144354,0.11949244311898687,-0.09598101292487421,-0.04955436674565313,0.05833367924049688,-0.05132775366248906,-0.003813589229312363,0.04329254770004318,0.22817964952102762,0.06988773255345462,0.19678318323473634,-0.07486767668638987,0.03269685794714475
1997-Q2,0.2010984060193929,0.20574885899247966,0.3273643099970661,0.13181924257506833,0.21472841814858523,0.15511004145692925,0.02819710630420973,0.23089642441717326,0.2696108476627104,0.007583685110752267,-0.18571508344235618,0.1702130977657835,0.18773800810788852,0.040184051273682034,0.17935066828343818,0.15670844962285707,0.13187777066334794,0.1986559383443282,0.13743311008780507,0.06421850031464368,0.317180028390161,0.07382596504710305,0.36563178065435586,0.056910930440591985,0.08235978298318633,0.2110643247651054,0.3875960468428292,0.26783720328878896,0.1753327219012752,0.09391804434052128,0.21406709184179368,0.27805396142094474,0.17258125049231499,0.08968611697888076,0.007424868469206815,0.1688888488239711,0.20938705458761986,0.39307093149811456,0.12085762044264774,0.2517786890693114,0.1107930871464351,0.1745561552396079,0.047344900050607375,0.0930133318181083,0.18185968412968012,0.2614519563121098,0.24479932354392042,0.11797809772923902,0.30834397788888146,0.19336799655771397,0.1545975848312951,0.06016799615994729,0.15435867962501867,0.10238022881079341,0.2208434161963132,0.1308119395142053,0.3181244553454157,0.07262234135878666,0.10948612532140292,0.30168101393004326,0.13988338648133117,0.04476727578931273,0.12424130828575794,0.058733554024806,0.2972635871406077,0.19131406719225988,0.07459491863049653,0.3231245785263809,0.17610077331251928,0.018293772868168405,0.1589632808586103,0.21293930621143076,0.15248115299278345,0.17731511134542882,0.02165671937319728,0.2980137522007537,0.13485413567329974,-0.0014374910812844832,0.13725454326594846,0.27898325491573545,0.24745864520857638,0.008289331751737187,0.05692494902080951,0.1998223445729357,0.166201123778118,0.002924152889230944,0.3137622014310789,0.18668132345607186,0.028938885918334066,0.355227427522625,0.32115123121364053,0.1758721275656293,0.27896583883718884,0.006341653289299157,0.06083740942205812,-0.06333821916885007,0.17931945654919584,0.1666967344622477,0.22707869594143323,0.039261514014687804,0.36148650274326893,0.3461398648814135,0.44199023722063197,0.18235880161559626,0.40864394098125095,0.04667060120429155,0.09793391366890968,0.20915492532196267,-0.0308810999378985,0.18376824828755833,0.09652042455093382,0.09911662367539112,0.1636889571482278,0.13994880182172284,0.1046516305575416,0.16892723535283843,0.03134700138965892,0.039980429285019554,0.15693251033101505,0.06095184078906004,0.08228319473415685,0.2744304925374884,0.28944429600024585,0.2660299715769788,0.23800429983141433,0.06666676336294174,0.2720664908759442,0.2782823475086149,0.2801159264075639,0.2209559704904399,0.19733451812257277,-0.013729948710600034,0.07842215326012573,0.10849329575270204
