,MMM,ABT,ADM,ADP,APD,MO,AEE,AEP,AXP,AIG,AMGN,AAPL,T,ADSK,AVY,BALL,BAC,BBWI,BAX,BDX,BA,BMY,BF.B,CPB,CAT,CNP,CVX,CI,CSCO,C,CLX,CMS,KO,CL,CAG,COP,ED,COST,CSX,CMI,CVS,DE,DIS,DOV,DTE,DUK,EMN,ETN,ECL,EIX,LLY,EMR,ETR,EXC,XOM,FDX,F,GD,GE,GIS,GPC,GL,HAL,HIG,HAS,HSY,HES,HD,HON,HWM,HPQ,IBM,ITW,INTC,IFF,IP,IPG,JNJ,JPM,K,KEY,KMB,KR,LIN,LMT,LOW,MRO,MMC,MAS,MCD,MDT,MRK,MU,MSFT,TAP,MS,MSI,NEM,NEE,NKE,NSC,NOC,NUE,OXY,ORCL,PCAR,PARA,PH,PEP,PFE,PNC,PPG,PG,PEG,PHM,RTX,RVTY,SPGI,SLB,SEE,SHW,SNA,SO,LUV,SWK,SYY,TGT,TXT,TJX,UNP,UNH,VZ,VFC,WBA,WMT,WFC,WRK,WMB,GWW,XEL
1995-Q1,0.08588453329952213,0.09812328667385097,-0.07908908136423597,0.07947249175803747,0.16406584048539788,0.13945405499963304,0.0,-0.017734785114706265,0.19230809475019378,0.06096575238687213,0.15665216074079774,-0.07890852086491248,0.047329017777364236,0.12883288382741734,0.1516058566825727,0.07065016242443778,0.12029972927826331,0.3123056435308491,0.1743293161307548,0.12867740418462773,0.15593095535474985,0.07708727220148946,0,0.09322112626776168,0.013555542857192206,0.0907564353393991,0.08941781281905008,0.1914806361699325,0.11721638264152417,0.17688144440236345,0.03226327216009383,0.030925995913381844,0.09370671886319987,0.057078593259483605,0.0890609638429532,0.13236160243563244,0.07753509301697321,0.14563111471847573,0.11947139240740218,-0.013729130290940434,0.2014073413571795,0.2349046730777989,0.14745290314353707,0.232762870055273,0.06757030127390781,0.01264231190350757,0.11229033003785843,0.11439149431565673,0.1822175095957361,0.07627174853890445,0.13164403330550797,0.07531897070938531,-0.04949114265698509,0.030684200432172775,0.11226304881971531,0.12008282818729551,-0.026229071717139,0.08919829199499363,0.06681203588932987,0.05474982958961372,0.12069766119316432,0.18996458801916533,0.09323323629478435,0.0,0.1715871154416915,0.04755562532088951,0.10358102555105131,-0.02395623545453292,0.1603860088393589,0.0,0.22699026721416268,0.11730183054417183,0.1304381021532099,0.33250150605655493,0.1259533297446106,0.0038026911194941546,0.15923068805120305,0.09724120737533139,0.053418761910277765,0.01143269903739097,0.13351681664045764,0.026037091115334948,0.08205212575007317,0.15222244439550964,0.1998136822263033,0.008639523894975399,0.06402592671842594,0.04264860759375434,0.15706768991985104,0.17380094932271253,0.29370649629144413,0.12234842176340294,0.7422190933623205,0.1817237622677476,-0.014867991109334178,0.21671819780356447,-0.03996723913716536,0.21696833902976703,0.05183637125965718,0.0421012157365148,0.09193822680137184,0.1711318582569216,0.028801843000003036,0.12894036431464045,0.09329473945421704,-0.033864339890506356,0.0,-0.014283626998409732,0.09186062049277025,0.13548909838785533,0.13870257985065942,0.01446015767690133,0.06814192645505335,0.04759203307592761,0.02447081429674391,0.10770060192940104,0.04639195797209714,0.08217274084896917,0.1725263896471697,0.19791676341889045,0.031496883107434016,0.09020300136291536,0.04035747466532435,0.014756065356797651,0.1033741360713857,0.023582509398212586,0.02725918000892982,0.15228036826678956,-0.1579354116394263,0.18064529782497254,0.08473758470879658,0.06420473425044886,0.08870065894447256,0.07982780654374512,0.230017195214445,0.10088247791807142,0.0,0.22441946035600616,0.12565677791323818,-0.005650021164961497
1995-Q2,-0.005317057522547114,0.1391416186454351,0.001371665183441966,0.0007577990479731628,0.07458923061661218,0.1510415632653577,0.0,0.12702655497410337,0.017315985958656042,0.0960647127864253,0.19387774407893685,0.32103133148104723,0.1489854981205992,0.02222696286311762,0.009744079094995138,0.019108900794330065,0.06612686283949508,-0.03910987707336554,0.11987419773666723,0.0775419448650081,0.17044895826841525,0.09640329028949976,0,0.019452327507906965,0.16281398914140746,0.12556993627531898,-0.02470570379085997,0.04907424205563213,0.32622940615624496,0.13820502280869862,0.09661478724205314,0.05768193962236219,0.1349656468835507,0.11463852199222213,0.05946299458634596,-0.080726892053218,0.10220556539532415,0.10169410299475842,-0.04049517379604672,-0.01987039601508582,-0.07065900858790636,0.06060945286416308,0.03910291262608654,0.12797109325913097,0.09677307488825598,0.0983381407089232,0.07693285490640647,0.07886930197477583,0.015437917984979739,0.11165726280150365,0.08286458244992649,0.08179735412298605,0.17927373032534927,0.11616781684147454,0.07133445759684624,-0.10166336622764552,0.11959815982730598,-0.04841611652085358,0.05168154310450142,0.0507071605292013,-0.04252066897472133,-0.08418261433184086,-0.010861755347020476,0.0,-0.05688254343453708,0.08746504430462358,-0.007125171847400346,-0.07796858972517334,0.1391268160038973,0.0,0.241086351469112,0.17205913518926214,0.12844720655260494,0.49282781575716617,-0.030526352549710443,0.1492376146136123,0.007775612678465007,0.14011104196010352,0.25165524231471204,0.22986940499102793,0.12439897225493309,0.1601980024691376,0.01895664667924984,0.07334456721816454,0.20094764949302904,-0.1339092765553281,0.1386275874008356,-0.0035126910829340564,-0.016213925742354657,0.14867336616547747,0.1133483322665078,0.1598567052149098,0.446559989093562,0.27064992373959673,0.007407383584845411,0.15723127226348954,0.2308672163423359,-0.01768597255624948,0.07472307969835572,0.12043965431454516,0.015312191008087162,0.07488571272349154,-0.047597320888077874,0.05726912242258704,0.23600000100542654,0.10597768847014437,0.0,0.23493137863195235,0.16796346115888458,0.08077688139873368,0.09711020153522867,0.14418832050518193,0.09051849450999586,0.0324390197759861,0.1940258535022536,0.13775940238826986,0.1262955240517246,0.0660635922866461,0.04793931892521137,0.02028968448003032,0.056422714552291274,0.06947460523679111,0.1144428848431743,0.3362856448855764,-0.029735798469752637,0.1176374341384966,0.00977636724982998,0.0331365101638241,0.021442209707369222,0.017464793397182744,-0.11497290372163126,0.07304370087833602,0.018456054967635676,0.04584108875327465,0.045963195264910946,0.14205521639908839,0.0,0.14816990536755167,-0.06758693435805165,0.06425978505355541
1995-Q3,-0.009018236409605753,0.05827944767692948,-0.13190545209786997,0.08627455603397886,-0.06034656312160295,0.13775879201970964,0.0,0.053583977617015645,0.2669818110316868,0.11961216977691538,0.2400925975779484,-0.1956585715584078,0.16860114998135436,0.01887203943202061,0.05696021983284324,-0.14678765613213124,0.2643377793273045,-0.12611278660766193,0.13884554765395982,0.08321061713724572,0.09397216718390586,0.08140715386831082,0,0.03202297968903153,-0.11057196078377493,0.06569493884712142,0.06207887204061975,0.35177483374928686,0.36464784326353183,0.2194192829587806,0.10291515860868522,0.08181364241617238,0.08604934856339308,-0.08246459693582682,0.14251743103647793,-0.017656501690474925,0.04817422902340079,0.05384680219903032,0.12579524516402193,-0.1118390137795532,0.018396052234046126,-0.04254286532216846,0.03547858509596358,0.05549232828854685,0.11168777581855048,0.0584276864931677,0.0824029639402052,-0.08162708470741012,0.1326529782485049,0.03649627946237978,0.1546071125823473,0.0068401813733007695,0.10295553870737499,0.05190462431920949,0.0339500088678,0.366254606564654,0.05742501226719392,0.2468677780735861,0.1380826868398463,0.09508022468168634,0.06781438258753732,0.1242324989651595,0.1749966885936205,0.0,-0.01714860243696858,0.17231189469647182,-0.0021143015628791078,-0.02029522736075269,-0.004182340456599639,0.0,0.12191508407672541,-0.013359338812550216,0.07364926589420795,-0.049792782533268506,-0.023710914571434774,-0.014324364099273883,0.06421676150091866,0.10333120176554368,0.3021390839725833,0.02028879603997364,0.1045654611408262,0.12893185897374815,0.26976803285841555,0.07861694101388894,0.06957978055376399,0.00552985834777358,0.00846601970158877,0.09300395562013207,0.02504966124865076,-0.020532213553685143,0.402669442715865,0.14771525281976708,0.444403572096946,0.001383519820643866,0.11513055828768805,0.2005942073290914,0.13925580344832258,0.01770867449014211,0.07032835317413381,0.323360047527176,0.11745009378915426,0.1756874900066637,-0.16225555737941919,-0.03291051098472463,-0.006472433335583883,0.005154673732698485,0.0,0.05310526144685331,0.12574686726675458,0.16464607582076995,0.07195441643766672,0.08885207391526477,0.07750573301027631,0.09325017928481323,0.015559529201706357,0.13801420686200397,0.17350076873334205,0.08567550141069412,0.05866594207297302,0.25284105664640544,-0.01304803919259722,-0.012773540473834952,0.06521606731255739,0.05276317526204878,0.15444927592877497,-0.07285788849347569,0.0639261625392928,0.18083118667638975,-0.094382093160861,0.20385032287235083,0.18126890146541513,0.10966966221745386,-0.0453012898107046,0.12164749178964045,-0.07291233120233748,0.14020804659873137,0.0,0.1266133084757726,0.03163899699635616,0.013423020584268829
1995-Q4,0.17298839204245128,-0.021224710832318718,0.1649311485620258,0.07886663484777828,0.026890085651247522,0.09617997819628372,0.0,0.1390325971921585,-0.054697883507111834,0.10219876467039433,0.21173507628580024,-0.1501867563113736,0.06344488893056893,-0.19046246442250178,0.20444695400638033,-0.07023156949208889,0.030333070481769368,-0.08746334803952452,0.03786427105086981,0.16182899707427092,0.17179747247262117,0.19833229912260447,0,0.20119092234799277,0.07062466902449499,0.10142159911861219,0.08836995307456567,-0.018063349822452824,0.1306818321231381,0.1994265976370705,0.03063292243429298,0.1480244569892398,0.08119615409231949,0.06953689057175125,0.040834863293984565,0.09803400792587584,0.05914004897984966,-0.10948877329536384,0.0880991052502924,0.0031049527452299947,-0.11178494976648135,0.2930776560555943,0.03613172808014771,-0.019431432553620467,0.0903857061791301,0.10181488286021054,-0.020952254808953373,0.019693539397689537,0.10610078010304005,0.0071430522256537244,0.2712140068747165,0.1590059968894334,0.13232269757215337,0.05903969941925653,0.14183767605724645,-0.11394250415196254,-0.04979696195728134,0.10286146154352387,0.14113629259456076,0.03758455059348064,0.020111668509408726,0.07832173832906116,0.22316549782409387,-0.027638176998590114,0.014906856021033832,0.0059243242219704905,0.10745601389664337,0.20641805276702446,0.09356358684317885,0.0,0.017817264546225446,-0.020246832848775497,0.009310539387591545,-0.03960341534722265,0.012171250718874229,-0.07263192895313035,0.10255442138543025,0.16800200634264462,-0.022934879058935334,0.06763325712175064,0.07311519218160736,0.2378978309916878,0.11152431458312399,0.2906412696936081,0.20041352428727555,0.13753008014803347,0.029194969053306746,0.02521795063936733,0.11831073401122869,0.1893329707841718,0.048133004508117076,0.16006971994129912,-0.48520965172603386,-0.005665666004173961,0.2368491529096037,-0.12685656205879875,-0.25246667742579443,0.08682262189836913,0.14635534466202121,0.19474474389524463,0.06550584478092371,0.060509140310207044,0.28177764260791005,0.005484166520191362,0.12531119726073403,-0.09546042254753813,0.0,-0.06620550465083345,0.09942067728932678,0.18826894003445546,0.17108460886214885,0.00698462599067381,0.07983321196541908,0.04397438688751556,0.17678828362712037,0.10053827696287848,0.2528212315872571,0.0814512941956197,0.06501004682425043,0.02283136818743062,0.1690514259371589,0.1712143905239069,0.044760302447763814,-0.0511644777347539,0.18567996565502096,0.19703138391662983,0.000977239469101129,-0.011269037411733091,0.6397685900896571,0.006633661904553831,0.32070666061298486,0.0932519296592495,0.033922110299551375,0.07095844622243608,-0.09917152904853054,0.03566252535442932,0.0,0.13592003451818507,0.10821249550053519,0.08876893636032897
1996-Q1,-0.011463950117148392,0.008028152509464113,-0.004229130590074576,0.07104148420083602,0.035216151017434354,-0.009371018281088123,0.0,0.02611381785404997,0.21744412360543952,0.004881013862562303,-0.010729667622906197,-0.20622332272801666,-0.1376376911475721,0.052332566675510464,0.09980692682054879,0.11084009543954894,0.20208922536376311,0.09991755459591159,0.10318734562262656,0.08546754311286288,0.06592329157050986,0.03092741669338333,0,0.06040737106847043,0.14181983241070073,-0.08733652664607744,0.07339300865739486,0.09472717908779159,0.23731554406574742,0.07655884289925102,0.24701549437228396,0.011938132487920671,0.12680007325069034,0.11315047625090456,-0.021685703724751922,0.1690171383723807,0.007549261432999077,0.2073170316393722,0.016720091928606115,0.06122126552486749,0.1258958465333964,0.20988562619247159,0.0657087091865813,0.2548313108104074,-0.010151440536039755,0.07322844217877117,0.07036496398268646,0.11450380123019956,0.038322149949814206,-0.028368443407259317,0.1869164730958108,0.019947375987841253,-0.02827944679916724,-0.1076083737778468,0.03901895886230191,-0.022109378227696323,0.20591872127734712,-0.03543998895020262,0.08643257146706344,0.0021363971331655987,0.0929852995613039,0.012078001226074355,0.24622508598683324,0.028436174902018822,0.21274462134703695,0.16222145240319336,0.030902125798974237,0.008952881063222874,0.20290137888299983,0.0,0.1550070016629692,0.21723198640186575,0.10321083578021771,-0.024869733882784153,0.01995612320130338,-0.00295972763795666,0.08535391055324522,0.11057906810614611,0.2532186473595599,-0.03774244181362094,0.07931048937294205,-0.06843049877093155,0.07333326369025912,0.23249861725676574,-0.02002034473014976,0.0718602680245441,0.002597026631725466,0.07052872405499543,-0.09891673259685475,0.08386948166820815,0.13122164530550814,-0.00872510563993554,-0.259036120919972,0.14484661007660363,-0.18702532870858884,0.24043402615121623,-0.11063723945016712,0.1725374500831959,-0.014802914385806953,0.16232292914384397,0.06689395863448118,-0.016810145899467773,0.052057884416256535,0.2618376174848365,0.0838148278642674,0.10077278231640387,0.0,0.10634904504960117,0.15143245031643437,0.12949980213755324,-0.00983223024226651,0.09040840817459266,0.04380294732907656,-0.09210925268756853,-0.21596193015897813,0.19842279168342336,-0.04072487526141767,0.013068655222898877,0.18833210791187058,0.19555601655012095,0.10911655158894383,0.019826902429939307,-0.013129754617096572,0.26104834018464107,0.12388232012521114,0.051082760186960924,0.11405408966090967,0.18864995550173838,0.3293696697013167,0.012011579538666422,-0.007608195453770343,-0.058768073474704974,0.06134069732048896,0.09891358050959492,0.012981864531279384,0.14496382610191474,0.0,0.1663473517517944,0.02033390784063286,-0.00252589687370981
1996-Q2,0.08056320725171845,0.04188244630140514,0.057974637553516485,-0.0037772804019741532,0.05252707387417468,0.17500012894854108,0.0,0.03361513498166029,-0.09545203551668513,0.043587515991053434,-0.032537944828472797,-0.15686554967469346,0.0014350250482532548,-0.17682748799202477,-0.015086887197987295,-0.11820536443898061,0.02520589308089898,0.13115108015143193,0.053435134238825,-0.020179388058674443,0.06254968031732384,0.040346481702726686,0,0.1011645097917375,0.04242238113206039,0.13678374874954563,0.07350259809067843,0.034533417136606646,0.23545022507167124,0.04535708382548046,0.003775451411169571,0.03770843544834074,0.17523273020926766,0.08633271820623134,0.14785014744966687,0.07776203935858196,-0.07287355168715742,0.13131271217064094,0.07417097678193961,0.02424109077188381,0.15709841296547608,-0.07725709511756866,-0.03880059878180735,0.011332454554655584,-0.07909218595254647,0.017849761940661825,-0.09276750821287133,-0.038805718691642434,0.06139647604635185,0.051851982253820865,-0.001591266472816266,0.10641601632419274,0.04023917864956459,-0.0066115401323427045,0.06123047349262114,0.15478252610398474,-0.04785329204906967,0.10072278965826875,0.10507279753605622,-0.060345296876581675,0.027060292372003802,-0.02691276925150929,-0.09873312270172153,0.11213034984627046,-0.03751544235065601,-0.02156187788923763,-0.029032221357368996,0.1373668081132216,-0.01743168241449142,0.0,0.05840425779587836,-0.07735730473726199,0.051171609543450756,0.31585818338126354,-0.018966373494983556,-0.0038518239957698714,0.011665890601153098,0.06865210160212339,-0.01974900633957509,-0.004331275928006902,0.012939929469377187,0.052991292581629816,-0.01242216298490998,0.020787990796967526,0.1034043722086447,-0.01921981965718102,0.08024220895642656,0.03991291142694648,0.11973946288934849,-0.03405081667357037,-0.04362253088906449,0.04878544111299599,-0.1410918211906782,0.190389104609563,0.006802914224112938,-0.009184418382078946,0.23378520951424114,-0.09877899075951789,0.04447012895393906,0.26220615549405785,0.03636425727719216,0.0839025719079678,-0.14753249632959053,-0.06495200437786117,0.2520006947499709,0.010255946400639664,0.0,0.11918968603938626,0.11713061264184904,0.026192226542257464,-0.004580848766345926,-0.026152241306937274,0.05414271112032751,0.02080101184057597,0.03516057241053879,0.03876291724538126,-0.09869248048733174,0.05278415974481785,0.03970829659544675,0.029739671870828013,0.04016887058590179,0.021834081239958017,0.030209878461111214,-0.03763131936141402,0.06388147035471284,0.022540710163999476,0.19092097550893827,-0.02954404739082213,0.36827432472304045,0.07676143804230626,-0.20467803306703325,0.005738839106307415,0.07810733108421952,0.022283598564552885,0.06063281765091625,-0.05615817820724942,0.0,-0.03263805488624512,0.16004679062234067,0.01902952044009366
1996-Q3,0.02262235530403058,0.14189518684883284,0.05978655724700822,0.12484108617540145,0.009126613999353966,-0.13290986559489684,0.0,-0.030470339584975102,0.02720660945490014,0.031777584987896956,0.1322867278370911,0.03197965286184444,-0.013859090464801074,-0.13564809878577888,0.02669993276321033,-0.10760237452365624,0.03832673257109742,-0.09514183094708097,-0.01952356800445019,0.10760276907201083,0.054732640459141044,0.07681570819933754,0,0.1342419076342862,0.08337657638160718,-0.09107836163118088,0.05569546110648236,0.018501120589006215,0.06316889596421743,0.0717398933110736,0.08884154190851842,-0.01965280026389271,0.032844860295351025,0.032542564943839405,0.06501791577280032,0.02307251928452268,-0.0371118112025845,-0.023809216044441753,0.04384240596919381,-0.04502333032723271,0.07271372983035905,0.07519899969558712,0.018011767712655048,0.030732705464500264,-0.07296767581812158,-0.07794306880708927,-0.04912765099839909,0.04621576735281123,0.043172616263913936,0.021428552649305946,0.00014295289860827412,-0.001196802641336044,-0.0403164478171662,-0.06976485575515687,-0.0366340486447142,-0.04518085071476227,-0.041633682674368185,0.09833773326760911,0.04825002506717667,0.11827374460203052,-0.03618536211966114,0.05556860300742624,-0.009692151112261854,0.08815247152242991,0.03774616115696478,0.35517973196797964,-0.008936010240066237,0.049532352608086104,0.14483124546589193,0.0,-0.03823576959262188,0.23052991356297634,0.0713163100801115,0.2712554864186019,-0.06957111436574329,0.11424471777620109,0.011865602376090589,0.03645184394363723,0.13146911383227766,-0.06971344301585529,0.13153847604896513,0.12567642429134515,0.12578550251575413,0.03538244981775154,0.06053417203317437,0.15314895900955017,0.06353954812733055,0.0151510923758567,-0.029961685018966535,-0.0010544636473438082,0.14447618460698258,0.07084893457272422,0.15639818886983908,0.07818131686733729,0.23508944582689476,-0.04139689060119043,-0.19965771073805708,-0.05733804297795146,-0.05547150913388555,0.16827847330910628,0.05298133868289883,0.18447266400957713,0.001614191361651496,-0.05505239813223854,0.08785882808006336,0.12342025988337042,0.0,-0.00987807537254217,-0.20381910921139051,0.11139776971210101,0.11162725246437882,0.12531270484116153,0.08162176677755974,-0.007789475553030572,-0.06165199363769663,0.047172663192677336,-0.1161871519133537,-0.06346413131560337,0.0014172507864956341,0.07581225185824257,0.0011727317910568227,0.023790578938189696,-0.06389006788082459,-0.1970154254258494,-0.048248866110255806,-0.014507756340093962,-0.01163082036132781,0.06961918511374393,0.05369228984229245,0.01825649976890422,-0.18382387080317206,-0.03456001372479509,0.014511423640357906,0.10387896170337926,0.062356157655159436,0.17296260590033666,0.0,0.042483135812873385,-0.09460262600791527,-0.032508849515038754
1996-Q4,0.20355493698937124,0.03286872496455364,0.1528750436683582,-0.01727714043587068,0.19138381766390686,0.24587713378946643,0.0,0.020566380296976425,0.22565883520783572,0.0674511118327081,-0.14705877532409614,-0.15228327215458118,0.08763895420912564,0.10633434193697364,0.28384343805921786,0.1062495980971815,0.13921207873604383,-0.034063963709642174,-0.0723449783260459,0.008874496968722459,0.12153218043958285,0.134399866859899,0,0.03340183200566726,0.025828473633844298,0.02730845824513097,0.04024097202956019,0.13341648484272187,0.024144933566267054,0.21641177997259176,0.04605953030402998,0.11187713311076822,0.052435643940461685,0.04483321071131831,0.028690396934819205,0.06490386188785091,0.07250904475974528,0.21818212914196947,-0.17102435123083523,0.17470803380925035,0.08982894489197335,-0.033975385070390586,0.11793257524814105,0.0636628091314156,0.16993970328878333,0.00012140664626057166,-0.020913025999348214,0.19008789448159027,0.10724152592315586,0.14999992413460342,0.12819598660950512,0.097513238244965,0.04432405383670204,0.06437187592418388,0.1598990226266229,0.09370173696716831,0.032483622137019615,0.04661529620903523,0.09655767192603752,0.0761095554350322,0.015999913541298646,0.11410872462412092,0.16625480782440213,0.13165653103421265,0.029041079251158775,-0.1280858660868183,0.06722654439585779,-0.13850801462258464,0.020254923601987312,0.0,0.052029603091962466,0.22754173258393684,0.08559722753023148,0.368147943685417,0.04857973949600739,-0.049933514199790946,-0.0017546712568701137,-0.02324714029035396,0.10935283902920281,-0.03216460996917767,0.13668018414755725,0.10486788123471362,0.053824485378843594,0.07170237834634204,0.0168814324801264,-0.16077200633077068,0.11355503938904637,0.08748361567222492,0.23560588511341893,-0.04321003977872818,0.05790596868572644,0.12706253072751486,0.0,0.2507096176063432,-0.10537643551453357,0.19487710357887833,0.20655093672677116,-0.05047947953949763,0.074239663152878,-0.004257105585119363,-0.0309309418775743,0.03131138164249782,-0.024684924391636675,-0.005537165434679195,-0.020528562668296675,0.38379410911010925,0.0,-0.06766080452884607,0.034820501859624584,0.039507562292556725,0.13978987589984299,0.05243874364302074,0.1061412450101304,0.03319151389274738,0.2082307758186342,0.10528905263392137,0.14281669563081062,0.0740961517487789,0.165758704860206,0.11744953777238464,0.21470182390088735,0.11546302319519786,0.03137408068147262,-0.04826431315376037,-0.027618151617172768,-0.03604717902209361,0.2565417938341088,0.11237383113332429,0.34163077632346794,0.23627710583049516,0.10429379182426367,0.09636278766336137,0.13124170063346705,0.0985124991479249,-0.1231488958458424,0.042018041326504565,0.0,0.12163773975426011,0.15636943964047242,0.0012193682652292038
1997-Q1,0.02592890216807732,0.11616189965727536,-0.18539796572841039,-0.02080699483151476,-0.01412561007627363,0.018815203922290195,0.0,0.017890701409649094,0.05973456654919031,0.08518764108160609,0.02758615786355189,-0.1257513704501568,0.034184127238519164,0.1092145116498512,0.09294118560649099,0.015586917618929191,0.14160107552747916,0.0063979335142140105,0.0585599873986072,0.04019595428099526,-0.07151591008666505,0.08256851725140596,0,0.16127565843805658,0.0719778739425083,-0.06196999199360888,0.07968075795756928,0.07425286578922671,-0.24361515731882716,0.06097159990834364,0.12520244203902767,-0.014360159213433813,0.06178035315274437,0.08525202784527502,0.09635756022562253,-0.0695622691788119,0.047361449255245366,0.09950226273626177,0.1066817055408726,0.11938561236471455,0.11553593309835222,0.07902093351181191,0.04647443064995812,0.0430981360208859,-0.15460762069598866,-0.034763518120830936,-0.019445442828906312,0.018364461428657195,0.014209900205429903,0.13207539701519122,0.131269058299337,-0.06617669457392628,-0.09794712670184207,-0.17722995998343508,0.10799910590829197,0.17134808395859047,-0.015691295409943358,-0.038675871940582175,0.008867038656873057,-0.0159921751005894,0.055839650636388204,0.09653440911064001,0.12884848116714243,0.07425733810851892,0.05895131275174779,0.14801632716265947,-0.08165227176032748,0.06846411477570158,0.06718233041299634,0.0,0.06194226230477986,-0.09192320919341253,0.028785076904893958,0.06288193124343144,-0.020108615845500576,-0.03140517169826981,0.11428626941678599,0.06614187664869424,0.05697197938999164,0.03129398696839501,-0.027173518886709803,0.04920303894098125,0.09677400045559173,-0.024888795154785006,-0.07781079570501857,0.050706116975925725,0.17570009225338964,0.0983681385756773,-0.01736101699509392,0.042973605928484926,-0.0832993897321773,0.06297677282523176,0.38626621862277394,0.10968158794743367,0.12492318208697131,0.056517058713314826,-0.010192436000983249,-0.13143933230426444,-0.030672993614261717,0.03203609257815748,-0.02472080607616067,-0.08099721959212815,-0.1010233741409559,0.06375355345963811,-0.07634680489952596,-0.014792792211171638,0.0,0.10824976300109809,0.11076835120560868,0.017355144695047706,0.07343403793022478,-0.03189044475770643,0.07050328136493497,-0.01800895367071921,-0.047041183262803855,0.1480331279222632,0.04431277819945608,0.11631996740959381,0.07772403743757261,-0.012011624520033131,-0.03233320630935569,0.09336336698090826,-0.0523791685385324,0.00616772526639113,0.40933692123747684,0.04597641909536775,0.06807638497420378,0.11949252222808253,-0.09598059118942322,-0.049554483841329856,0.0583338949957815,-0.051327943447676896,-0.003811814781643638,0.04329342232685841,0.2281800496981125,0.06988828668171074,0.0,0.1967828884067131,-0.07486804821932808,0.03269678136975662
1997-Q2,0.20109836948004606,0.20574897075320842,0.3273642694083835,0.1318195340403244,0.21472799308447288,0.15511100938963035,0.0,0.02819741637932821,0.23089614119788449,0.26961071754425925,0.007583868293556732,-0.18571543495607665,0.17021334523923778,0.18773701420622946,0.040183382411049386,0.17934991573386236,0.15670908658244562,0.13187733868582285,0.1986556433211922,0.13743421771446032,0.06421824783914121,0.3171799265605875,0,0.07382571251323494,0.36563248365508405,0.05691228909164219,0.08236054693589397,0.2110639039264666,0.3875964830148177,0.26783876686801594,0.17533123527544375,0.09391819126051962,0.21406652246576177,0.2780539864512767,0.17258021381396796,0.08968611697888076,0.007424534929388923,0.16888860320868945,0.20938748215692438,0.39307130206017565,0.12085696413476166,0.2517801397441275,0.1107927506428024,0.17455592412698323,0.047344023595441466,0.0930133623678574,0.18185928146733085,0.2614529402276647,0.244798781164126,0.1179776634064626,0.3083435478823284,0.19336806202075257,0.15459788406650077,0.0601675360252852,0.15435911655809342,0.10238086057088848,0.2208444856138652,0.13081078838625113,0.3181247951761289,0.07262304855581952,0.10948612532140292,0.301680824317021,0.13988352652769873,0.15740531893546972,0.044767170612839385,0.12424215114683966,0.05873345476372597,0.29726259042778397,0.19131522668969245,0.0,0.07459518732304923,0.32312489883565443,0.17610027972848255,0.018293287997865282,0.15896358252902618,0.21293949632098744,0.15248073576953738,0.17731462042637078,0.021656523536726816,0.29801371699382484,0.13485404080774605,-0.001436948283796924,0.13725539343231064,0.27898339421954654,0.24745888653172024,0.008288896957732274,0.05692482900991678,0.19982264819521453,0.16620103439418757,0.0029242247850846757,0.31376151490956566,0.1866816610019823,0.028938786235286285,0.35522805655230644,0.3211509953569693,0.175871905634605,0.27896543960671727,0.006342084934657165,0.06083762741483006,-0.06333782496990603,0.1793186920547577,0.1666956316464168,0.22707795058663777,0.039260960149938046,0.36148650274326893,0.34614076721885423,0.0,0.4419906678050827,0.18235978942522224,0.4086423180198939,0.04667093969410381,0.09793333455663342,0.2091558937918444,-0.030881448304144975,0.1837679624100521,0.09651912065876715,0.09911562940010596,0.16368907036372526,0.13994835228736557,0.1046519139234247,0.16892629124194558,0.031347405280492714,0.03998073965230124,0.15693198803054234,0.06095195008344398,0.08228364120550166,0.2744308766304413,0.28944541303071397,0.2660310727939275,0.238004716140974,0.06666687939853352,0.2720665120983572,0.278282031856533,0.2801153665899216,0.22095663361840612,0.19733433872772163,0.0,-0.013729804520535217,0.07842216607431404,0.10849263075993942
